isolate_id_orig,Isolate_ID(GL),Strain_Number,lineage,Host_genus,Host_species,Year,Country,State,County,Town,Host_Environment,Sample_Type,GPS Coordinates,lat,lon,List,Notes,Duplicate
7612-D1,PR-07-224,1004.1,NA1,,,2001,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
7612-B3,PR-01-001,1006.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,,,,,,42.10412,-124.2568,CurryCo_List/GLCC_DB,,
7612-F3,PR-07-225,1008.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.10417,-124.25667,CurryCo_List/GLCC_DB,,
Pram_PR_01_004_NA1,PR-01-004,1020.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,,,GLCC_DB,,
7612-A11,,1021.1,NA1,,,2001,,,,,,,,,,CurryCo_List,,
7612-D9,PR-07-227,1022.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.11189,-124.26289,CurryCo_List/GLCC_DB,,
7612-C9,,1030.1,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.07435,-124.26372,CurryCo_List,,
7612-F2,,1033,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.11215,-124.26276,CurryCo_List,,
7612-G8,,1036.1,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.11147,-124.2627,CurryCo_List,,
7881-H11,,1037.1,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.11775,-124.26297,CurryCo_List,,
7612-G3,,1041,NA1,Notholithocarpus,densiflorus,2002,,,,,,,,42.07252,-124.26311,CurryCo_List,,
7612-A1,PR-07-230,1043,NA1,Notholithocarpus,densiflorus,2002,USA,OR,Curry,,Forest,,,42.07828,-124.26103,CurryCo_List/GLCC_DB,,
7612-H4,PR-07-231,1056,NA1,,,2002,USA,OR,Curry,,Forest,,,42.06789,-124.25386,CurryCo_List/GLCC_DB,,
7612-D7,PR-07-232,2025.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.09121,-124.27387,CurryCo_List/GLCC_DB,,
7612-D3,PR-06-011,2027.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.09107,-124.2748,CurryCo_List/GLCC_DB,,
7612-E3,PR-07-233,2029.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.09106,-124.27482,CurryCo_List/GLCC_DB,,
7612-D2,PR-01-005,2033.1,NA1,Notholithocarpus,densiflorus,2001,USA,,,,,,,42.09121,-124.27387,CurryCo_List/GLCC_DB,,
7612-E9,PR-07-235,2043.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,,,Forest,,,42.07431,-124.26276,CurryCo_List/GLCC_DB,,
7612-E4,PR-07-237,2091.1,NA1,,,2001,USA,OR,Curry,,Forest,,,42.09114,-124.27432,CurryCo_List/GLCC_DB,,
Pram_PR_05_055_NA1,PR-05-055,2092,NA1,,,,USA,,,,,,,,,GLCC_DB,,duplicate
7612-D5,PR-05-055,2092,NA1,,,2002,USA,,,,,,,42.09114,-124.27432,CurryCo_List/GLCC_DB,,duplicate
7612-A3,,2098.2,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-B9,,2099.1,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-F7,PR-13-002,2138.1,NA1,Notholithocarpus,densiflorus,2002,USA,OR,Curry,,Forest,,,42.07195,-124.26172,CurryCo_List/GLCC_DB,,
7612-E6,PR-02-018,2148,NA1,Toxicodendron,diversilobum,2002,USA,OR,Curry,,Forest,,,42.07432,-124.26309,CurryCo_List/GLCC_DB,,
7612-G6,PR-02-019,2149,NA1,Notholithocarpus,densiflorus,2002,USA,OR,Curry,,Forest,,,42.10237,-124.25625,CurryCo_List/GLCC_DB,,
7612-B10,,2157.3,NA1,Notholithocarpus,densiflorus,2002,,,,,,,,42.07286,-124.26089,CurryCo_List,,
7612-E2,PR-02-020,2158,NA1,Notholithocarpus,densiflorus,2002,USA,OR,Curry,,Forest,,,42.07213,-124.26142,CurryCo_List/GLCC_DB,,
7612-H11,,2181,NA1,Rhamnus,purshiana,2002,,,,,,,,42.07782,-124.26146,CurryCo_List,,
7612-C7,,2195,NA1,Notholithocarpus,densiflorus,2002,,,,,,,,42.07703,-124.26307,CurryCo_List,,
7612-H8,,2222,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.09052,-124.2759,CurryCo_List,,
7612-B1,,2223,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.09052,-124.2759,CurryCo_List,,
7612-F9,PR-13-273,2234,NA1,Notholithocarpus,densiflorus,2003,USA,OR,Curry,,,,,42.10651,-124.25109,CurryCo_List/GLCC_DB,,
7612-H7,,2235,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.107,-124.25067,CurryCo_List,,
7612-H9,,2246,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.08659,-124.24989,CurryCo_List,,
7612-G11,PR-13-275,2252,NA1,Notholithocarpus,densiflorus,2003,USA,OR,Curry,,,,,42.14188,-124.26797,CurryCo_List/GLCC_DB,,
7612-D8,,2294,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.06901,-124.26201,CurryCo_List,,
7885-F1,,2295,NA1,,,2003,,,,,,,,42.06903,-124.2621,CurryCo_List,,
7612-G7,,2298,NA1,,,2003,,,,,,,,,,CurryCo_List,,
7612-B8,PR-03-001,2339,NA1,Notholithocarpus,densiflorus,2003,USA,OR,,,,bark,,42.09245,-124.27142,CurryCo_List/GLCC_DB,,
7885-G1,,2340,NA1,Vaccinium,ovatum,2003,,,,,,,,42.09244,-124.27138,CurryCo_List,,
7612-H10,,2424,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.06921,-124.26371,CurryCo_List,,
7612-E5,,2486,NA1,Notholithocarpus,densiflorus,2004,,,,,,,,42.08785,-124.25009,CurryCo_List,,
7612-B6,PR-03-008,2544,NA1,Notholithocarpus,densiflorus,2003,USA,OR,Curry,,Forest,,,42.07817,-124.26019,CurryCo_List/GLCC_DB,,
7612-C11,,2555,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07611,-124.26201,CurryCo_List,,
7612-E1,,2562,NA1,,,2001,USA,OR,Curry,,Forest,,,,,CurryCo_List,,duplicate
7612-E11,,2562,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07272,-124.26252,CurryCo_List,,duplicate
7612-F5,PR-13-282,2568,NA1,,,,,,,,,,,42.09127,-124.27203,CurryCo_List/GLCC_DB,,duplicate
7885-H1,PR-13-282,2568,NA1,Notholithocarpus,densiflorus,2003,USA,OR,Curry,,,,,42.09127,-124.27203,CurryCo_List/GLCC_DB,,duplicate
7612-B12,,2573,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07258,-124.26235,CurryCo_List,,
7612-C8,,2574,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07741,-124.25983,CurryCo_List,,
7881-G3,,2597,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07627,-124.26242,CurryCo_List,,
7881-G2,,2598,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.07651,-124.2626,CurryCo_List,,
7612-H6,,2647,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.10495,-124.25473,CurryCo_List,,
7881-A12,,2663,NA1,Notholithocarpus,densiflorus,2003,,,,,,,,42.09665,-124.27193,CurryCo_List,,
7881-B12,,2711,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.08433,-124.25146,CurryCo_List,,
7881-G1,,2714,NA1,Notholithocarpus,densiflorus,2005,,,,,,,,42.14559,-124.26764,CurryCo_List,,
7612-E8,PR-04-026,2837,NA1,Notholithocarpus,densiflorus,2004,USA,OR,Curry,,,,,42.07636,-124.26549,CurryCo_List/GLCC_DB,,
7885-E1,,2849,NA1,Notholithocarpus,densiflorus,2004,,,,,,,,42.09834,-124.24669,CurryCo_List,,
7612-C5,PR-04-027,2850,NA1,Notholithocarpus,densiflorus,2004,USA,,,,Forest,,,42.09834,-124.24669,CurryCo_List/GLCC_DB,,
7881-E2,,2851,NA1,,,2004,,,,,,,,,,CurryCo_List,,
7881-E1,,2893,NA1,Notholithocarpus,densiflorus,2004,,,,,,,,42.08252,-124.25069,CurryCo_List,,
7881-C12,PR-04-029,2965.2,NA1,Notholithocarpus,densiflorus,2004,USA,OR,Curry,,,,,42.0867,-124.24938,CurryCo_List/GLCC_DB,,
7881-D12,PR-14-078,2987,NA1,Notholithocarpus,densiflorus,2004,USA,OR,Curry,,,,,42.07966,-124.26046,CurryCo_List/GLCC_DB,,
7881-F1,,2988,NA1,Notholithocarpus,densiflorus,2004,,,,,,,,42.07933,-124.26135,CurryCo_List,,
7612-B7,,3050.18,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.06773,-124.25403,CurryCo_List,,
7612-B11,,3055,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.06773,-124.25403,CurryCo_List,,
7612-F1,PR-07-240,4088.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.1032,-124.2572,CurryCo_List/GLCC_DB,,
7612-B5,PR-07-241,4089.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.07666,-124.25936,CurryCo_List/GLCC_DB,,duplicate
7612-A8,PR-07-241,4089.1,NA1,Notholithocarpus,densiflorus,2001,USA,OR,Curry,,Forest,,,42.07666,-124.25936,CurryCo_List/GLCC_DB,,duplicate
7612-C3,PR-07-243,4119.5,NA1,,,2001,USA,OR,Curry,,Forest,,,42.09114,-124.27432,CurryCo_List/GLCC_DB,,
7612-B2,,4123.1,NA1,Rhododendron,macrophyllum,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-G10,,4143.1,NA1,Rhododendron,macrophyllum,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-A4,,4144.1,NA1,Rhododendron,macrophyllum,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
7612-B4,,4146.1,NA1,Notholithocarpus,densiflorus,2001,,,,,,,,42.09114,-124.27432,CurryCo_List,,
